Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
robustbench_Carmon2019Unlabeled_cifar10_linf_13,https://arxiv.org/abs/1905.13736,,,,True,89.69,59.53,Carmon2019Unlabeled,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Zhang2020Attacks_cifar10_linf_13,https://arxiv.org/abs/2002.11242,,,,True,84.52,53.51,Zhang2020Attacks,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Cui2020Learnable_34_20_LBGAT6_cifar100_linf_13,https://arxiv.org/abs/2011.11164,,,,True,62.55,30.20,Cui2020Learnable_34_20_LBGAT6,WideResNet-34-20,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Wu2020Adversarial_extra_cifar10_linf_13,https://arxiv.org/abs/2004.05884,,,,True,88.25,60.04,Wu2020Adversarial_extra,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Chen2020Adversarial_cifar10_linf_13,https://arxiv.org/abs/2003.12862,,,,True,86.04,51.56,Chen2020Adversarial,ResNet-50,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Dai2021Parameterizing_cifar10_linf_13,https://arxiv.org/abs/2110.05626,,,,True,87.02,61.55,Dai2021Parameterizing,WideResNet-28-10-PSSiLU,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Andriushchenko2020Understanding_cifar10_linf_13,https://arxiv.org/abs/2007.02617,,,,True,79.84,43.93,Andriushchenko2020Understanding,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rade2021Helper_R18_extra_cifar10_linf_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,True,89.02,57.67,Rade2021Helper_R18_extra,PreActResNet-18,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Sridhar2021Robust_34_15_cifar10_linf_13,https://arxiv.org/abs/2106.02078,,,,True,86.53,60.41,Sridhar2021Robust_34_15,WideResNet-34-15,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Chen2021LTD_WRN34_10_cifar100_linf_13,https://arxiv.org/abs/2111.02331,,,,True,64.07,30.59,Chen2021LTD_WRN34_10,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Sehwag2021Proxy_R18_cifar10_linf_13,https://arxiv.org/abs/2104.09425,,,,True,84.38,54.43,Sehwag2021Proxy_R18,ResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_70_16_cutmix_extra_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,92.23,66.58,Rebuffi2021Fixing_70_16_cutmix_extra,WideResNet-70-16,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Wong2020Fast_imagenet_linf_13,https://arxiv.org/abs/2001.03994,,,,True,55.62,26.24,Wong2020Fast,ResNet-50,pytorch,False,imagenet,natural,,fp32,,,Classification,,
